Date,Open,High,Low,Close,Volume
1/1/2020,1518,1527.099976,1505.5,1509.599976,6402372
1/2/2020,1512,1540.949951,1512,1535.300049,8096561
1/3/2020,1533,1541.650024,1523,1537.150024,9593498
1/6/2020,1520,1527.900024,1498,1501.5,11209343
1/7/2020,1519,1534.5,1513.5,1524.599976,7627191
1/8/2020,1515,1534.449951,1510,1513.150024,7336561
1/9/2020,1538.599976,1550,1531.25,1548,6849606
1/10/2020,1551.900024,1557.949951,1539.650024,1547.650024,5704686
1/13/2020,1545.050049,1558.699951,1538.400024,1543.699951,8358090
1/14/2020,1540,1550,1521.849976,1529.400024,7230788
1/15/2020,1535.849976,1539.900024,1518.25,1523.849976,7231393
1/16/2020,1529,1543.349976,1528,1537.900024,5873662
1/17/2020,1553.5,1584.949951,1553.199951,1581,13469708
1/20/2020,1609,1609,1526.400024,1532.349976,14878868
1/21/2020,1528.599976,1545.849976,1522,1533.900024,8650831
1/22/2020,1544,1546.75,1531.099976,1533.349976,4719245
1/23/2020,1536.5,1541.949951,1520.699951,1526.849976,5142037
1/24/2020,1527,1536.349976,1518.550049,1521.550049,6687633
1/27/2020,1514.900024,1524.449951,1505,1506.550049,6120429
1/28/2020,1508.599976,1510,1463.599976,1471.75,11215313
1/29/2020,1474.050049,1494.400024,1464.050049,1479.849976,11313297
1/30/2020,1479,1479.699951,1440,1443.75,10241756
1/31/2020,1453,1453.25,1407.199951,1411.650024,15886416
2/1/2020,1453,1453.25,1407.199951,1411.650024,15886416
2/2/2020,1453,1453.25,1407.199951,1411.650024,15886416
2/3/2020,1453,1453.25,1407.199951,1411.650024,15886416
2/4/2020,1453,1453.25,1407.199951,1411.650024,15886416
2/5/2020,1453,1453.25,1407.199951,1411.650024,15886416
2/6/2020,1453,1453.25,1407.199951,1411.650024,15886416
2/7/2020,1453,1453.25,1407.199951,1411.650024,15886416
2/8/2020,1453,1453.25,1407.199951,1411.650024,15886416
2/9/2020,1453,1453.25,1407.199951,1411.650024,15886416
2/10/2020,1453,1453.25,1407.199951,1411.650024,15886416
2/11/2020,1453,1453.25,1407.199951,1411.650024,15886416
2/12/2020,1453,1453.25,1407.199951,1411.650024,15886416
