Date,Open,High,Low,Close,Volume
2/2/2015,458.024994,459.950012,452.850006,454.024994,8824550
2/3/2015,456.600006,470.424988,456.600006,468.799988,7814040
2/4/2015,469.549988,471.899994,462.950012,464.399994,6433654
2/5/2015,468,469.950012,458.799988,461.850006,5653156
2/6/2015,462.049988,465,451.5,454.950012,4135456
2/9/2015,450.600006,459,446,448.350006,4041210
2/10/2015,449,452.25,430.649994,441,6240782
2/11/2015,443,452.375,441.5,450.350006,4471548
2/12/2015,454,456.975006,443.625,454.575012,3981748
2/13/2015,457,460.399994,454.524994,458.75,3380142
2/16/2015,459.350006,462.100006,450,451.399994,5607922
2/18/2015,450,454,447.200012,450.825012,4496248
2/19/2015,453.475006,453.799988,443.774994,451.024994,4366230
2/20/2015,447.625,448,435.649994,436.549988,8556874
2/23/2015,434.975006,438.375,423.549988,425.725006,6448086
2/24/2015,427.125,428.399994,418.5,420.725006,9118740
2/25/2015,424.399994,428.25,420.524994,421.575012,6982812
2/26/2015,423.049988,425,418.299988,421,9810676
2/27/2015,423.774994,430.5,422.299988,427.774994,8530440
2/28/2015,null,null,null,null,null
3/2/2015,434.5,437.75,427.774994,432.125,6665262
3/3/2015,434.5,453.225006,433.700012,450.399994,9434508
3/4/2015,453,454.825012,440.024994,443.924988,6617962
3/5/2015,446.25,449.375,439.075012,442.475006,4899316
3/9/2015,442.549988,445.875,432.075012,434.825012,6430224
3/10/2015,434.475006,437.899994,427.700012,429.575012,6964500
3/11/2015,430.475006,434.799988,426.200012,427.975006,5319530
3/12/2015,429,433.700012,427.799988,431.899994,5386508
3/13/2015,434.5,434.799988,423.5,425.049988,5913976
3/16/2015,425.75,426.975006,420.149994,421.049988,6327178
3/17/2015,425.274994,429.950012,420.5,428.424988,8718200
3/18/2015,428.5,436.125,427.350006,434.325012,4237880
3/19/2015,437.774994,438.350006,427.049988,428.075012,6370436
3/20/2015,428.950012,430.575012,424.299988,427.049988,4757144
3/23/2015,428.25,432,419.049988,420.975006,6058224
3/24/2015,421.049988,427.149994,421.049988,423.975006,4223500
3/25/2015,424.5,424.75,420.5,422.450012,4692786
3/26/2015,420.549988,424.625,412.049988,414.649994,9427386
3/27/2015,416.950012,417.5,400.725006,405.850006,10664284
3/30/2015,408.299988,408.850006,398.225006,405.375,7922962
3/31/2015,409,416.450012,409,413,9250942
4/1/2015,412.450012,419.5,406.549988,418.024994,6669386
4/6/2015,418,419,410.700012,412.325012,5638734
4/7/2015,413.024994,418.049988,413.024994,416.424988,9726422
4/8/2015,416.75,434.75,416.450012,432.950012,11347420
4/9/2015,432.75,449.5,429.399994,447.549988,12469862
4/10/2015,447.475006,454.399994,444.549988,452.174988,11576924
4/13/2015,453.399994,462.375,449.375,461.25,9224402
4/15/2015,460.5,469.799988,453.600006,461.825012,10163386
4/16/2015,462.25,469,459.5,464.174988,9224384
4/17/2015,467.524994,472.149994,461.299988,463.424988,10953102
4/20/2015,468.649994,468.725006,439.25,442.825012,17202330
4/21/2015,445.075012,447.75,436.225006,438.225006,8095048
4/22/2015,440.950012,443.375,433.5,439.875,6748376
4/23/2015,441.924988,444.700012,434.524994,438.524994,6097602
4/24/2015,438.5,442.225006,434.325012,439.450012,5810518
4/27/2015,440.024994,443.75,435.725006,437.649994,5048454
4/28/2015,437.350006,441,429.274994,432.600006,6714572
4/29/2015,431,435.274994,423.700012,425,7492024
4/30/2015,425,432.950012,423.975006,431.174988,15910372
5/4/2015,433.100006,446.950012,430.25,445.475006,6893384
5/5/2015,446.850006,450.899994,442.549988,446.075012,8158936
5/6/2015,445,448.375,436,440.125,10257994
5/7/2015,437.5,439.225006,430,435.375,7650924
5/8/2015,435.5,446.875,430.549988,444.850006,7819576
5/11/2015,446.424988,449.725006,441.700012,447.975006,6498166
5/12/2015,447.450012,447.450012,432.575012,434.350006,7611912
5/13/2015,436.674988,444.325012,428.600006,442.549988,7635334
5/14/2015,443,443.100006,435.149994,439.100006,5636730
5/15/2015,440.950012,443.475006,435.049988,436.975006,3808980
5/18/2015,437.450012,447,436.100006,445.774994,4501964
5/19/2015,445.625,452.375,443.299988,447.774994,6634872
5/20/2015,450.200012,455.5,448.850006,454.424988,3981412
5/21/2015,455.625,457.700012,447.049988,448.375,4918892
5/22/2015,448.5,452.799988,448.5,451.924988,3816904
5/25/2015,450,454,446.174988,447.25,3025224
5/26/2015,447.5,448,441.350006,442.299988,4347766
5/27/2015,443,445.450012,440.100006,442.649994,3693098
5/28/2015,442.924988,447.125,436,437.899994,12132678
5/29/2015,439.950012,443.225006,436.549988,438.5,13384696
6/1/2015,440,452.450012,439,451.125,8958164
6/2/2015,452.875,459.399994,445.725006,449.325012,9225142
6/3/2015,449.5,455.225006,444.25,448.174988,7107236
6/4/2015,452.100006,458.100006,446.274994,456.350006,7283298
6/5/2015,454.950012,458.475006,452.225006,453.875,5973490
6/8/2015,453.399994,455,441.549988,442.725006,4958862
6/9/2015,441.774994,445.325012,438.674988,441.850006,4184606
6/10/2015,443,454.950012,442.5,452.899994,6176034
6/11/2015,453,454.75,436.825012,438.575012,6709574
6/12/2015,439.5,446.350006,439.125,444.924988,9849112
6/15/2015,447.450012,452.5,445,450.875,5878506
6/16/2015,449.5,452.5,446.600006,451.975006,6368010
6/17/2015,452.524994,471.174988,447,465.600006,11992678
6/18/2015,466.274994,491,466.25,489.475006,22568840
6/19/2015,491.25,503.200012,491.25,498.325012,20897502
6/22/2015,498.475006,504.350006,493.25,495.850006,8866370
6/23/2015,496.325012,501.350006,495.5,497.5,7318090
6/24/2015,497.5,503.225006,493.325012,495.450012,8504668
6/25/2015,493.5,504.5,492.5,502.274994,12423550
6/26/2015,499.950012,507.049988,497.700012,500.350006,9585314
6/29/2015,493.950012,496.924988,486,495.424988,9220564
6/30/2015,494.950012,501.424988,494,500.049988,10599340
7/1/2015,500.5,505.225006,500.5,502.825012,6777156
7/2/2015,504.5,509.875,503.549988,505.424988,7283210
7/3/2015,504.875,506.899994,501.524994,503.600006,6323112
7/6/2015,498.049988,509.450012,497.600006,507.774994,5594680
7/7/2015,505.5,508.299988,500,501.625,5163694
7/8/2015,497.924988,504.350006,495.825012,498.299988,6944656
7/9/2015,498,500.5,491.575012,493.700012,7427064
7/10/2015,495.549988,502,495.125,500.899994,7365212
7/13/2015,500.899994,506.25,497.575012,503.5,4507774
7/14/2015,504.450012,505.75,497.600006,498.899994,4545572
7/15/2015,499.875,507.200012,499.774994,505.575012,6186792
7/16/2015,506,513.900024,505.575012,511.850006,6790884
7/17/2015,512.625,515.575012,509,510.850006,4660876
7/20/2015,513.900024,514.974976,508.950012,512.375,2902254
7/21/2015,514,514.224976,501.375,503.899994,3622284
7/22/2015,502.5,526.974976,502.299988,525.200012,7913294
7/23/2015,526.75,533.924988,520.599976,522.650024,8522914
7/24/2015,524,524.825012,510.549988,512.525024,5988726
7/27/2015,512.450012,514.950012,500.875,502.674988,9197526
7/28/2015,504.149994,508.350006,500.049988,505.125,6118202
7/29/2015,504.75,506.350006,496.049988,498,6761866
7/30/2015,500.049988,504,496.149994,500.075012,5349408
7/31/2015,500,503.950012,495,500.924988,7604624
8/3/2015,500.5,506.924988,499.700012,501.225006,4520364
8/4/2015,501.700012,502.825012,490,494,5489138
8/5/2015,494.125,500.399994,492.049988,493.875,6558056
8/6/2015,495.5,496,488.75,489.475006,3981022
8/7/2015,489.5,497,488.575012,492.174988,3935694
8/10/2015,492.25,494.399994,482.25,484.450012,4246570
8/11/2015,485.5,486.825012,479,483,4005904
8/12/2015,481.799988,483,470.274994,471.450012,4411804
8/13/2015,473.5,476.975006,464.700012,466.674988,4270094
8/14/2015,470.125,486,467.149994,483.475006,5824010
8/17/2015,483,483,473.024994,475.350006,4963652
8/18/2015,478,478,471.100006,472.049988,3031166
8/19/2015,472,480.5,469.725006,477.299988,4058402
8/20/2015,479.975006,479.975006,456.875,458.149994,8689858
8/21/2015,455,455.950012,448.5,453.975006,9166424
8/24/2015,440,440,409,414.774994,16291446
8/25/2015,420.424988,430.325012,411.600006,424.075012,22631686
8/26/2015,423.899994,437.399994,420,426.700012,8665824
8/27/2015,433.399994,440.625,428.524994,434.575012,12342370
8/28/2015,437.5,441.5,433.049988,436.200012,4923780
8/31/2015,436.424988,436.424988,426.899994,427.950012,9467432
9/1/2015,426.950012,426.950012,417.549988,419.924988,9895684
9/2/2015,425,428.549988,421.299988,424.774994,8984402
9/3/2015,427.024994,430.375,422.200012,426.924988,5330550
9/4/2015,424.850006,424.850006,412.549988,417.950012,7406072
9/7/2015,419.125,422,413.850006,416.600006,4678930
9/8/2015,418,426.475006,412.549988,424.299988,5897660
9/9/2015,430.5,439.350006,425.25,437.024994,7927582
9/10/2015,430.5,435.25,427.75,433.5,5062846
9/11/2015,436,438.049988,428.100006,430.475006,4861888
9/14/2015,430.875,432.850006,425.950012,431.924988,3640906
9/15/2015,431,435,427.799988,433.5,5261888
9/16/2015,436.049988,438.674988,432.600006,436.274994,6137372
